DonorID,FirstName,LastName,Email,Phone,Address,DonationAmount,LastDonationDate,PreferredContactMethod,Volunteer,EventParticipationCount,MembershipStatus,TotalDonations,Region,LoyaltyScore,CommunicationOptIn,AgeGroup,Gender
100,Joann,Maxwell,hperry@hotmail.com,(117)544-9268,"Unit 5415 Box 7098, DPO AA 79140",895.14,2023-09-26,Email,True,3,Inactive,2685.42,West,223.78,False,51-65,Non-Binary
101,Sonya,Freeman,harrisonreginald@martin.biz,471.295.4479,"154 Derrick Point, Meganfurt, SD 11503",527.36,2024-02-02,Email,True,2,Inactive,1054.72,South,175.79,True,65+,Male
102,Stephanie,Carroll,kstone@hotmail.com,+1-201-491-8621x7216,"35320 Parker Estate, East Katelynville, IN 06099",683.44,2024-08-27,Email,True,1,Active,683.44,East,341.72,False,36-50,Female
103,James,Irwin,dansparks@gmail.com,007-267-7825x6785,"2701 Ward Plaza, West Nancy, OH 82285",112.75,2023-12-31,Email,True,5,Inactive,563.75,North,18.79,True,51-65,Non-Binary
104,Stephanie,Murphy,jasonbowers@hotmail.com,3982825876,"293 Henderson Ferry, South Alexis, NM 18095",778.4,2023-12-25,Email,False,1,Active,778.4,West,389.2,True,26-35,Male
105,Paul,Chapman,alexis96@gmail.com,(197)096-4309x9686,"32666 Lopez Union, New Jeffrey, WV 08104",377.36,2023-09-08,Email,False,8,Active,3018.88,South,41.93,True,65+,Non-Binary
106,Kyle,Montoya,hernandezjessica@yahoo.com,854.209.2539,"34628 Amy Manors Apt. 256, Davidfort, NM 78574",238.86,2024-08-14,Phone,True,6,Active,1433.16,South,34.12,True,51-65,Non-Binary
107,Mary,Contreras,stevensonsteven@yahoo.com,(274)700-9545x2607,"8710 Randall Manor, West Brian, ID 57874",596.19,2024-09-16,Email,False,9,Active,5365.710000000001,South,59.62,False,51-65,Non-Binary
108,Candace,Ward,kimberlyramos@hotmail.com,(641)622-5314x21875,"5122 Ruiz Fords, Kellyfort, UT 93613",368.77,2024-08-17,Email,False,10,Inactive,3687.7,North,33.52,True,65+,Male
109,Aaron,Arellano,kosborne@martinez.com,231-422-3157x8125,"5658 Bailey Parkway Suite 224, North Jasonview, CA 46858",135.25,2022-12-22,Phone,True,3,Inactive,405.75,West,33.81,False,51-65,Female
110,Kenneth,Walton,chad76@hotmail.com,+1-546-755-3844x357,"9917 Shelby Isle Suite 244, Gravesburgh, GA 92760",746.95,2022-12-17,Email,False,2,Active,1493.9,South,248.98,False,65+,Male
111,Michael,Wade,sharonsuarez@hotmail.com,925-079-0749,"571 Leslie Inlet, South David, NH 09005",863.77,2023-07-07,Phone,True,4,Inactive,3455.08,North,172.75,True,18-25,Non-Binary
112,Mary,Ramirez,bhenderson@gmail.com,001-975-027-7625x28998,"128 Barron Throughway Apt. 536, Kimberlyberg, TX 89842",645.31,2024-12-08,Email,False,1,Inactive,645.31,North,322.65,True,65+,Female
113,Sarah,Petersen,jameswebb@murray.com,+1-763-226-2124x885,"420 Andersen Ranch Apt. 408, Peterberg, NM 41778",205.76,2023-09-25,Phone,False,6,Active,1234.56,East,29.39,True,26-35,Non-Binary
114,Samantha,Ramirez,lisamcknight@christensen.org,(109)003-1301x359,"Unit 9356 Box 0577, DPO AE 54245",271.36,2024-04-29,Phone,False,9,Inactive,2442.2400000000002,West,27.14,False,36-50,Male
115,Kayla,Padilla,kimberlygonzalez@cooper.com,001-914-595-9845x037,"05387 Tonya Burg Suite 606, Garyfurt, ME 02764",737.39,2024-11-19,Phone,False,2,Active,1474.78,South,245.8,False,51-65,Non-Binary
116,Raymond,Barnes,hardingcasey@haley.info,+1-891-480-5116,"8006 Christopher Walk, New Jessicabury, FL 21401",498.57,2024-03-18,Phone,False,1,Inactive,498.57,West,249.28,False,51-65,Male
117,Stephanie,Aguilar,kimberlyatkins@mcdowell-perkins.biz,038-690-8799x980,"20609 Kennedy Streets, North Ian, MD 02053",238.96,2024-02-14,Phone,False,7,Inactive,1672.72,West,29.87,False,65+,Female
118,Tiffany,Murphy,burtonmichael@hotmail.com,+1-250-440-3266x9904,"7253 Thornton Place, Port Susanborough, OR 77452",57.49,2023-02-02,Email,True,2,Inactive,114.98,North,19.16,False,26-35,Female
119,Cheryl,Cobb,christopher24@yahoo.com,960.904.1551x210,"7279 Melinda Parks, East Kyleview, NY 48791",526.95,2024-09-04,Email,True,4,Active,2107.8,West,105.39,True,65+,Non-Binary
120,William,Mercer,helenfuentes@yahoo.com,(515)965-7771,"8879 Roger Village Apt. 107, Port Kristinehaven, WY 49091",328.35,2023-03-28,Email,False,8,Inactive,2626.8,West,36.48,True,51-65,Non-Binary
121,Shawn,Blair,ubarnett@yahoo.com,298-532-1068x51213,"67931 Phillips Terrace, Ericmouth, MI 61058",964.38,2024-10-13,Phone,True,1,Inactive,964.38,West,482.19,True,36-50,Non-Binary
122,Autumn,Lawson,rherring@evans.biz,(652)642-5433,"616 Thomas Fall Apt. 342, New Ericchester, CA 02473",778.47,2024-05-15,Email,True,1,Active,778.47,South,389.24,True,65+,Non-Binary
123,Lucas,Martin,johnsonrichard@gmail.com,150.424.0454,"0684 William Wells Apt. 844, Lake Melindamouth, IN 93147",313.26,2023-08-05,Email,True,4,Inactive,1253.04,South,62.65,True,36-50,Non-Binary
124,Sara,Mason,tammy81@cunningham-christensen.info,001-558-805-1516,"57981 Smith Island Suite 319, Bennettland, MS 53935",317.21,2024-01-01,Phone,True,5,Active,1586.05,South,52.87,False,26-35,Male
125,Stephanie,Harvey,alexis76@hotmail.com,031.776.8975,"4879 Harrison Land Apt. 662, New Jeffreymouth, HI 12054",940.77,2024-07-15,Email,True,0,Active,0.0,North,0.0,True,65+,Non-Binary
126,Courtney,Wells,ubrown@yahoo.com,001-773-213-1260x92055,"4489 Duncan Way Apt. 373, Port Shawnmouth, WI 59365",832.38,2024-07-12,Phone,True,1,Active,832.38,East,416.19,False,51-65,Non-Binary
127,Kimberly,Jackson,flemingjesus@parks.info,301.519.2391,"05779 Cheryl Club, New Steven, MO 53959",911.44,2023-06-19,Phone,False,10,Inactive,9114.400000000001,South,82.86,True,65+,Female
128,Todd,Clayton,stonegregory@richardson.com,001-714-578-6069x68963,"5905 Darren Plaza Apt. 922, Jasonville, MD 30168",506.13,2023-07-20,Email,True,3,Active,1518.3899999999999,North,126.53,True,18-25,Female
129,Tammy,Acevedo,aaronyoung@dixon.com,+1-057-584-9548x72557,"PSC 3457, Box 5798, APO AA 40027",166.91,2024-03-27,Email,True,7,Active,1168.37,West,20.86,False,36-50,Female
130,James,Duncan,bbrown@ortiz.com,001-619-873-7635x318,"719 Haley Extensions Apt. 039, Leahberg, DE 53784",953.77,2023-02-01,Email,True,0,Inactive,0.0,North,0.0,True,36-50,Female
131,Jonathan,Compton,marias@gmail.com,+1-060-147-0525,"4450 Crosby Springs, Smithchester, WA 90621",826.0,2023-09-10,Phone,False,6,Active,4956.0,East,118.0,True,65+,Male
132,Shirley,Zavala,bruce97@smith-jones.com,+1-123-572-5358x50483,"138 Powell Union Suite 779, Andersonstad, ME 73520",605.82,2023-03-14,Email,True,2,Active,1211.64,South,201.94,True,18-25,Male
133,Joseph,Dixon,emily19@long-burke.net,001-218-430-3944x682,"90985 Walls Square Apt. 322, New Jessica, MS 28951",201.13,2024-02-09,Phone,True,0,Active,0.0,South,0.0,True,26-35,Male
134,Rachel,Parker,gina59@hotmail.com,001-476-469-9166x3128,"1262 Fuller River, Mackmouth, NY 89347",304.81,2023-09-07,Phone,False,3,Inactive,914.4300000000001,East,76.2,False,51-65,Female
135,Joshua,Ross,bonnieburton@becker.org,417-797-2877x505,"5832 Erin Trafficway, Holmesview, NY 15741",532.17,2023-08-10,Email,True,5,Active,2660.85,South,88.69,True,65+,Female
136,Debra,Taylor,leewang@stanley-steele.com,(769)361-8292x80426,"9346 Singleton Cliffs, South Cindy, AR 18877",921.83,2023-03-05,Phone,True,2,Active,1843.66,South,307.28,True,18-25,Female
137,Alicia,Ramirez,diana67@hall-george.com,3723152061,"7054 Hernandez Shore Apt. 712, Allenfurt, KS 04465",715.69,2023-06-14,Phone,True,1,Active,715.69,West,357.85,True,36-50,Non-Binary
138,Michael,Garcia,mwatson@collier.com,098-069-3951,"PSC 4482, Box 0893, APO AA 73532",788.49,2024-04-16,Email,False,7,Active,5519.43,West,98.56,False,36-50,Female
139,Connor,Garcia,jimmy94@brown-hernandez.com,298-228-1079x79703,"5460 Michael Village Suite 192, Joetown, IA 51329",312.36,2024-07-19,Phone,False,3,Active,937.08,East,78.09,True,51-65,Male
140,Craig,Brown,dennis18@medina-anderson.com,297-834-0577x246,"824 Scott Streets, Drewview, OH 21494",868.24,2023-01-12,Phone,False,8,Inactive,6945.92,South,96.47,True,65+,Male
141,Jeffrey,Barber,parksbarry@lynn.info,+1-962-209-6315x2624,"26911 Herrera Points Apt. 054, East Abigailland, PA 23634",94.33,2024-04-07,Phone,False,8,Active,754.64,West,10.48,True,18-25,Non-Binary
142,Duane,Savage,bowmanjeffrey@aguilar.com,(137)007-7500,"1542 Martinez Prairie Suite 716, North Natalie, WV 31913",140.38,2023-04-30,Phone,True,1,Active,140.38,East,70.19,True,65+,Non-Binary
143,Caleb,Rocha,coreylong@yahoo.com,(147)600-7412x309,"96587 Jacqueline Skyway, Rodriguezstad, MD 72825",177.97,2024-04-15,Email,True,1,Inactive,177.97,South,88.98,False,18-25,Male
144,Holly,Bernard,colemanmelissa@hotmail.com,+1-866-143-0508x11180,"333 Kimberly Canyon, Harrisburgh, NY 82503",200.44,2023-02-02,Phone,True,4,Active,801.76,West,40.09,True,18-25,Male
145,Hannah,Wong,yhall@gmail.com,337.209.2876x28780,"828 Harper Forks, South David, MN 78769",488.89,2023-03-26,Phone,False,1,Inactive,488.89,South,244.44,False,51-65,Male
146,Jeremy,Carroll,nstephenson@gmail.com,5326298361,"805 Sullivan Mall Apt. 498, New Tiffany, CA 56303",441.46,2023-01-23,Phone,False,5,Inactive,2207.2999999999997,North,73.58,True,65+,Male
147,Hannah,Fischer,judith86@hotmail.com,(265)894-5361,"153 Brooke Views, Lake Robert, CT 27773",288.75,2023-08-28,Email,True,9,Inactive,2598.75,East,28.88,False,36-50,Female
148,Pamela,Dougherty,carol96@yahoo.com,695-608-0846x80455,"139 Prince Course Suite 371, New Seanbury, OR 87177",871.54,2023-03-16,Email,False,0,Inactive,0.0,East,0.0,False,18-25,Non-Binary
149,Karen,Gonzales,cabbott@hotmail.com,268.314.1297x6340,"4115 Nguyen Inlet, Boydview, AL 89263",747.84,2022-12-30,Phone,False,2,Active,1495.68,South,249.28,False,26-35,Female
150,Lisa,Murray,emma49@yahoo.com,444-174-2685x660,"323 Wallace Passage, Foxbury, MS 69567",212.76,2024-07-10,Phone,False,8,Active,1702.08,South,23.64,False,51-65,Male
151,Shelly,Schultz,andersontammy@ramirez-thomas.com,572.862.3904x95271,"14749 Christopher Point, South James, LA 23563",682.77,2024-10-05,Email,False,10,Inactive,6827.7,South,62.07,True,18-25,Female
152,Martin,Camacho,perezmichael@yahoo.com,062-295-8652x382,"4456 Mcclure Views Suite 012, Kingfurt, AK 86677",58.57,2022-12-31,Phone,True,9,Active,527.13,South,5.86,False,36-50,Female
153,Desiree,Ramirez,james14@yahoo.com,221.491.8064x9408,"159 Bradley Loop, Whitakerport, WA 36343",692.86,2023-02-18,Phone,True,1,Active,692.86,East,346.43,True,26-35,Female
154,Thomas,Barnes,dking@thornton.com,710.806.2832x09608,"79521 King Run Suite 020, Stephensberg, IN 71474",407.51,2024-10-26,Email,False,3,Inactive,1222.53,North,101.88,True,18-25,Female
155,Steven,Taylor,mariaday@wilson.com,(951)380-5571x266,"175 Scott Corners, North Charles, HI 62209",749.65,2023-09-26,Email,False,7,Inactive,5247.55,West,93.71,True,36-50,Male
156,Barbara,Beck,sheltonkristina@gonzales.biz,(756)695-0891,"76577 Mclaughlin Estate Apt. 206, Emilyburgh, AK 81638",217.44,2024-10-20,Email,True,0,Inactive,0.0,East,0.0,False,36-50,Female
157,Nathan,Anderson,williamcarey@tucker.biz,7325902566,"596 Herrera Mountain Apt. 849, West Colleenborough, KY 81410",374.76,2023-11-20,Email,True,7,Active,2623.3199999999997,North,46.84,False,65+,Male
158,Joshua,Young,nicholas64@yahoo.com,326-467-5256,"3063 Fox Road, Crystalmouth, AR 83777",767.34,2024-02-18,Email,False,10,Active,7673.400000000001,East,69.76,False,65+,Female
159,Erin,Burton,tiffany94@gmail.com,896-775-6715,"04613 Danielle Harbors, Melissaview, NY 96735",957.83,2024-10-29,Phone,True,3,Inactive,2873.4900000000002,North,239.46,True,65+,Female
160,Cindy,Graham,reneenash@yahoo.com,(501)298-2814x17982,"06476 Tiffany Loop, West Danielletown, RI 24725",669.11,2023-11-28,Phone,True,8,Active,5352.88,South,74.35,True,51-65,Male
161,Scott,Sanders,john15@hotmail.com,323-791-4881,"4714 Juan Isle Apt. 269, Danielland, GA 42357",830.41,2023-03-08,Email,False,7,Active,5812.87,East,103.8,True,18-25,Female
162,Jacqueline,Schneider,qwilliams@hotmail.com,+1-475-749-1184x46228,"6348 Harris Vista, Larsenhaven, SC 71579",336.29,2024-08-11,Phone,True,4,Inactive,1345.16,South,67.26,True,36-50,Female
163,Todd,Gilbert,paul98@hotmail.com,294-105-5535,"PSC 3785, Box 2267, APO AE 57594",744.42,2024-09-11,Email,False,5,Inactive,3722.1,South,124.07,True,51-65,Male
164,Jeanne,Blankenship,jefferybryan@blair.biz,(282)437-2817x442,"9369 Christopher Walks, North Tinaborough, DE 78778",706.69,2024-06-23,Phone,False,10,Active,7066.900000000001,East,64.24,False,36-50,Female
165,Angelica,Hickman,wolfemartha@hotmail.com,(675)965-9666x0400,"Unit 6907 Box 3308, DPO AE 58328",326.52,2023-03-01,Email,True,2,Active,653.04,South,108.84,True,18-25,Male
166,Timothy,Vance,johnsonwilliam@strong.net,947.450.1717x116,"PSC 8830, Box 4046, APO AE 28209",125.92,2023-05-24,Phone,True,10,Inactive,1259.2,West,11.45,False,36-50,Female
167,Eric,Smith,michael32@nichols-wood.net,471.170.6427x6587,"239 Ayers Light Suite 882, Mortonshire, TX 37303",527.94,2023-08-09,Phone,False,9,Active,4751.460000000001,North,52.79,True,51-65,Female
168,Sarah,Bailey,randymadden@arroyo.net,(548)367-9490x88950,"89929 Eric Alley, Howardchester, MS 15416",165.96,2023-12-02,Email,True,3,Active,497.88,South,41.49,False,65+,Female
169,Lauren,Anderson,foxmelanie@atkinson-howard.com,001-956-416-0216,"116 Johnson Parkway, Marthafurt, SD 07198",451.34,2023-04-10,Email,True,0,Active,0.0,South,0.0,True,36-50,Female
170,Alexandria,Wilson,megan88@hotmail.com,(606)955-6871x2207,"4947 Cynthia Stream, Catherineland, CO 10255",69.51,2023-03-05,Email,False,7,Active,486.57000000000005,North,8.69,True,18-25,Male
171,Justin,Bass,johnsonmiguel@hotmail.com,771.189.1655x465,"886 Welch Hollow Suite 184, Hamiltonburgh, AK 06704",818.34,2023-11-15,Email,True,0,Inactive,0.0,East,0.0,False,65+,Male
172,Micheal,Shelton,raymondgomez@hotmail.com,655.001.9118,"2372 Leah Pike, Port Christopher, TX 74217",173.85,2024-12-05,Email,False,3,Active,521.55,South,43.46,True,26-35,Male
173,Jerry,Anderson,espinozamichelle@gmail.com,138-450-5313,"75127 Richardson Plain, Rebeccaside, NE 99694",785.24,2023-03-10,Email,False,1,Active,785.24,West,392.62,True,18-25,Non-Binary
174,Sara,White,alexandersusan@yahoo.com,514.672.0178x5583,"1784 Jennifer Ports, Paulamouth, VA 96393",146.21,2024-07-11,Email,False,1,Inactive,146.21,North,73.11,False,18-25,Non-Binary
175,Tina,Coleman,rachelmejia@hotmail.com,(846)099-7085,"USCGC Evans, FPO AP 13678",154.76,2024-05-15,Phone,True,7,Inactive,1083.32,East,19.34,False,65+,Female
176,Jessica,Hansen,annewilliams@gmail.com,001-932-626-1624,"83476 Richard Prairie, Cookfurt, MN 14593",915.18,2023-04-28,Email,True,5,Inactive,4575.9,North,152.53,True,51-65,Male
177,Michael,Flores,hughesjacob@hanson.com,(964)344-1848,"59287 Dawson Lakes Apt. 340, West Mariaburgh, HI 74827",404.85,2024-10-11,Email,False,8,Active,3238.8,East,44.98,False,65+,Female
178,David,Ramsey,jgeorge@gmail.com,721-269-7372x5436,"1268 Martinez Plains, South Andrewmouth, FL 64527",433.42,2023-04-21,Phone,True,5,Active,2167.1,East,72.24,False,18-25,Male
179,Billy,Miller,kmathis@andrade-gray.com,+1-381-666-5884x105,"619 Maurice Hollow Apt. 460, North Andrefort, WV 25576",642.88,2023-11-22,Phone,False,5,Active,3214.4,North,107.15,False,51-65,Non-Binary
180,Kimberly,Palmer,castroalexandra@arnold-anderson.org,+1-665-453-3547x467,"599 Shaw Junctions, New Seanhaven, OR 04254",996.16,2023-02-17,Phone,True,9,Inactive,8965.44,East,99.62,False,26-35,Male
181,Victoria,Craig,aliciagreen@knight-walker.com,001-823-462-3469x64192,"9363 Christian Turnpike, Lake Catherinefurt, FL 81535",605.66,2022-12-19,Phone,False,0,Active,0.0,South,0.0,False,65+,Male
182,David,Frost,fisherchristine@wilson.com,+1-354-366-9080x851,"1937 Heather Burgs, Port Nicholasfort, OR 18324",491.6,2023-04-21,Email,False,7,Active,3441.2000000000003,South,61.45,False,36-50,Non-Binary
183,Elizabeth,Petersen,madison59@thomas.com,(645)781-3680x80995,"094 Jackson Route Suite 851, Robertton, NE 97855",527.57,2023-06-26,Email,False,6,Inactive,3165.42,East,75.37,True,51-65,Male
184,Andrew,Steele,danielle96@gmail.com,192.126.9052x5764,"488 Heather Freeway, Smithville, RI 95823",172.94,2024-11-01,Email,False,0,Inactive,0.0,East,0.0,True,65+,Non-Binary
185,Leah,Jackson,qvance@hotmail.com,(315)289-1012x8585,"299 Sandra Course Apt. 807, East Ambershire, FL 04618",340.46,2023-08-20,Phone,False,6,Active,2042.7599999999998,East,48.64,False,51-65,Non-Binary
186,Michael,Walker,mking@flores-allen.info,001-093-220-3293x2749,"7804 Chad Shoal, Jenniferview, AK 48167",258.31,2024-12-07,Email,False,5,Active,1291.55,West,43.05,True,36-50,Non-Binary
187,Nicole,Nguyen,megan55@warren-phillips.com,001-417-164-5313x02369,"USNS Barker, FPO AA 28520",544.79,2024-06-11,Phone,True,4,Inactive,2179.16,South,108.96,True,65+,Non-Binary
188,Corey,Davis,rebecca41@gmail.com,+1-185-308-7652x0620,"8994 Leah Burgs, Smithland, NM 61056",596.25,2024-07-16,Phone,True,6,Inactive,3577.5,West,85.18,False,51-65,Female
189,Meredith,Lee,chensean@hotmail.com,684.819.8958x930,"2908 Anna Cape Suite 602, Smithshire, UT 83719",213.61,2024-09-28,Email,False,0,Inactive,0.0,South,0.0,False,65+,Female
190,Donald,Wallace,johnsonkristopher@hayes.com,+1-313-331-8781x518,"742 Lynch Heights Suite 386, North Brenda, RI 50789",135.02,2024-02-20,Phone,False,6,Active,810.1200000000001,North,19.29,False,18-25,Male
191,Emily,Day,john75@lopez.com,(633)482-6415,"910 Hamilton Circle Apt. 531, East Sharon, HI 31389",224.96,2024-03-14,Phone,True,6,Inactive,1349.76,West,32.14,True,51-65,Non-Binary
192,Nicholas,Wright,pachecosara@gmail.com,(981)320-0575x013,"PSC 1212, Box 9278, APO AA 71450",741.15,2024-03-01,Email,False,5,Inactive,3705.75,East,123.52,True,65+,Female
193,Karen,James,savannah58@kelly-brown.com,4758796052,"11354 Chaney Plains, New Courtney, GA 27947",516.75,2024-02-13,Email,True,6,Inactive,3100.5,East,73.82,True,26-35,Male
194,Rachel,Bowman,tgilbert@little-williamson.com,365.468.6008x248,"7754 Gray Ranch, North Cindyshire, WV 49381",267.87,2023-09-13,Email,False,7,Inactive,1875.0900000000001,East,33.48,True,65+,Non-Binary
195,Ebony,Delgado,jennifer17@gmail.com,4514131055,"366 Zuniga Circles Apt. 503, West Robertborough, WA 17426",836.45,2023-04-21,Phone,True,1,Inactive,836.45,East,418.23,False,51-65,Female
196,Haley,Davis,kevin40@yahoo.com,(884)578-2848x4775,"334 Charles Mount, Jameshaven, HI 36061",963.05,2024-04-18,Email,False,1,Active,963.05,East,481.52,False,51-65,Non-Binary
197,Meghan,Stokes,salaslisa@hotmail.com,(666)884-5938x02380,"537 Strickland Trafficway, Port Brenda, UT 35444",153.83,2024-08-29,Phone,False,2,Active,307.66,West,51.28,True,65+,Non-Binary
198,Juan,Gray,johnsontimothy@gmail.com,788.183.1976x01061,"7086 Ronald Island Suite 385, Aaronport, WI 97463",587.95,2024-02-17,Phone,True,2,Inactive,1175.9,South,195.98,True,18-25,Female
199,Eric,Stanley,carterronald@bennett.biz,083-739-7082x4729,"84290 Justin Locks Suite 929, East Zachary, MT 84502",666.99,2024-05-11,Phone,False,10,Inactive,6669.9,East,60.64,False,26-35,Male
200,Kathryn,Mckenzie,harringtonamanda@best.biz,001-437-600-7359,"719 Douglas Place, Deleonside, MT 02339",589.57,2024-08-16,Email,True,4,Inactive,2358.28,North,117.91,True,51-65,Male
201,Elizabeth,Turner,joshua66@adams.com,(088)734-2011x511,"853 Lee Oval Apt. 321, South Rachel, DE 59890",673.06,2024-09-14,Phone,True,2,Inactive,1346.12,East,224.35,False,36-50,Male
202,Angela,Sims,fosterrobert@yahoo.com,436-646-1305x50777,"USNV Robbins, FPO AA 12334",573.13,2023-08-12,Phone,True,2,Active,1146.26,North,191.04,True,18-25,Non-Binary
203,Isabella,Erickson,vrussell@long.com,+1-336-289-0514,"85885 Johnson Skyway Suite 845, South Tamaramouth, MI 52892",139.33,2024-03-20,Email,True,4,Active,557.32,North,27.87,True,65+,Non-Binary
204,Allison,Bryan,rachelbarrett@gmail.com,(291)270-0019,"280 Woodward Drives, West Misty, LA 27545",588.07,2024-06-19,Email,False,0,Active,0.0,West,0.0,False,36-50,Non-Binary
205,Bethany,Lewis,christinekane@cummings.com,001-977-342-3703x830,"76571 Terry Pike, Lake Mikeside, CO 20350",446.15,2024-01-16,Email,True,0,Active,0.0,South,0.0,True,36-50,Non-Binary
206,Brandon,Martinez,bradley73@golden.info,537.404.0437,"56416 Keller Mount, East Jamesview, MT 98483",334.71,2023-06-29,Email,False,4,Inactive,1338.84,North,66.94,True,51-65,Female
207,Tina,Wilson,toddmiller@gmail.com,127.112.4984,"28843 Bates River Suite 934, West Davidfurt, WY 76649",348.14,2023-06-30,Phone,False,8,Active,2785.12,East,38.68,False,65+,Female
208,Robin,Lawrence,nathanbrown@yahoo.com,(536)989-2980,"47696 David Stravenue Suite 917, Lake Monica, NH 71571",492.32,2023-10-14,Email,True,3,Active,1476.96,North,123.08,True,18-25,Non-Binary
209,Rebecca,Smith,mritter@gmail.com,001-384-144-7431x67637,"9802 Kristen Centers Suite 234, New Davidview, AZ 62570",977.55,2024-11-23,Email,False,3,Inactive,2932.6499999999996,West,244.39,False,65+,Female
210,Willie,Richards,andrea87@gmail.com,+1-060-685-4362x700,"USNS Herring, FPO AE 06130",426.15,2023-10-04,Email,False,8,Active,3409.2,West,47.35,False,18-25,Male
211,Veronica,Cain,avalencia@yahoo.com,332.113.8969x86120,"57617 Cole Club Apt. 312, North Bridgetstad, MI 73492",640.69,2024-06-09,Phone,False,1,Inactive,640.69,East,320.35,True,36-50,Non-Binary
212,Amy,Bryan,taylorjoseph@gmail.com,368.747.6024,"Unit 9995 Box 6322, DPO AA 88961",349.52,2023-03-23,Email,False,0,Active,0.0,East,0.0,True,65+,Male
213,Thomas,Neal,rjenkins@yahoo.com,001-511-708-4692x6919,"4681 Richardson Circle Apt. 540, West Teresa, SD 62185",490.32,2023-02-11,Phone,False,10,Active,4903.2,South,44.57,True,65+,Female
214,Carolyn,Robinson,crawfordjoseph@gmail.com,(082)169-4008,"891 Samuel Streets Apt. 090, South Brandi, MT 41571",803.93,2023-05-08,Email,True,3,Inactive,2411.79,North,200.98,False,26-35,Male
215,Angela,Rivera,cheryl12@cowan-wright.net,+1-315-069-1694,"6378 Ross Lakes Apt. 459, West Susanborough, ID 21654",327.98,2023-02-16,Phone,False,6,Inactive,1967.88,West,46.85,True,18-25,Female
216,Yvette,Stephens,devindavila@hotmail.com,148-678-5667x25140,"2307 Christine Village Apt. 538, Collinsview, AZ 86621",197.62,2022-12-16,Email,True,4,Active,790.48,South,39.52,False,18-25,Female
217,Michael,Montes,taylorjennifer@gmail.com,+1-847-579-5471,"9921 Ronald Mills Suite 998, West Josephland, OH 14118",880.68,2023-12-26,Email,False,1,Active,880.68,West,440.34,False,36-50,Male
218,Kristin,Farmer,fergusondaniel@wells.org,001-800-418-5204x66457,"851 Katie Road, New Wayne, CO 68884",487.62,2023-12-25,Email,True,1,Inactive,487.62,West,243.81,False,26-35,Male
